gene	baseMean	log2FoldChange	padj	Comparison
AC010197.2	218.230335180767	-23.0608970452437	0.0001258430452764	Short Survivor PC2 vs. Long Survivor PC2
MRPL12	143.072131676506	-22.8555975456887	2.94448822234504e-12	Short Survivor PC2 vs. Long Survivor PC2
NMU	42.2547301441455	-22.7233757440728	4.31627348640724e-07	Short Survivor PC2 vs. Long Survivor PC2
AC104389.6	40.6932674812496	-22.5511359449797	1.10412557289478e-08	Short Survivor PC2 vs. Long Survivor PC2
LINC00355	27.2520700992692	-22.3742519213603	3.02269151171778e-12	Short Survivor PC2 vs. Long Survivor PC2
AC008770.4	43.3370586614139	-22.2720148890804	2.46581683668881e-11	Short Survivor PC2 vs. Long Survivor PC2
FAM47E-STBD1	19.0361065025481	-22.1573796102095	2.60898997244456e-15	Short Survivor PC2 vs. Long Survivor PC2
SLC1A6	32.1992119796985	-22.1175456090857	2.13935639158791e-20	Short Survivor PC2 vs. Long Survivor PC2
RAG2	14.8015892384756	-21.914797957732	4.09526445621703e-10	Short Survivor PC2 vs. Long Survivor PC2
RIMS1	19.2403331696264	-21.8533512197084	0.00177727440863493	Short Survivor PC2 vs. Long Survivor PC2
LINC00839	19.5262423930029	-21.7976452135502	2.12757436444985e-14	Short Survivor PC2 vs. Long Survivor PC2
INO80B-WBP1	48.9435049088384	-21.6501536468415	0.00123093659918222	Short Survivor PC2 vs. Long Survivor PC2
LPIN3	20.4191162948116	-21.2320457121011	1.19896073088617e-14	Short Survivor PC2 vs. Long Survivor PC2
AC010422.6	40.5335514039958	-21.0802764178784	0.0484747835951894	Short Survivor PC2 vs. Long Survivor PC2
LRP2	19.5898509239494	-21.0117726155962	1.74821595839443e-11	Short Survivor PC2 vs. Long Survivor PC2
AC016705.2	18.2513686257413	-20.9644811244173	1.09652349180754e-16	Short Survivor PC2 vs. Long Survivor PC2
AMPD1	21.3975750033241	-20.8740249626634	1.17833210007407e-11	Short Survivor PC2 vs. Long Survivor PC2
MUC19	19.8603129661819	-20.8273521920905	2.12757436444985e-14	Short Survivor PC2 vs. Long Survivor PC2
NFYAP1	8.09400364410689	-20.731274554857	8.24087756970744e-10	Short Survivor PC2 vs. Long Survivor PC2
VPREB3	9.56242064713418	-20.4748582460332	1.3331264284433e-12	Short Survivor PC2 vs. Long Survivor PC2
